customer_id,first_name,last_name,email,phone_number,customer_segment,loyalty_tier,loyalty_points,signup_date,preferred_location_id,is_active,churn_risk_score
CUST-00019,Joyce,Arnold,josephjacobs@example.net,634-487-4016x40052,REGULAR,GOLD,422,2024-05-09,LOC-018,True,0.239
CUST-00020,Rachel,Clark,hhoffman@example.org,001-728-205-9826x204,NEW,BRONZE,168,2025-11-09,LOC-020,True,0.195
CUST-00021,Monica,Garrison,elizabethgomez@example.net,(392)832-2602x56342,REGULAR,GOLD,923,2024-03-10,LOC-012,True,0.521
CUST-00022,Darrell,Waller,jamessellers@example.com,733-203-6541x4586,REGULAR,BRONZE,1115,2025-11-26,LOC-008,True,0.301
CUST-00023,Jonathan,Fletcher,beverlyterrell@example.org,896-555-6981,OCCASIONAL,BRONZE,341,2023-01-16,LOC-003,True,0.303
CUST-00024,Heidi,Spencer,meyerlindsay@example.net,001-735-861-5951x4846,OCCASIONAL,SILVER,977,2024-07-25,LOC-019,True,0.443
CUST-00025,Scott,Lowe,robertbentley@example.net,001-729-994-6804x4369,REGULAR,SILVER,879,2025-08-27,LOC-014,True,0.242
CUST-00026,Dylan,Williams,yleon@example.net,(514)589-5134,REGULAR,SILVER,503,2023-04-22,LOC-004,True,0.227
CUST-00027,Linda,Dominguez,xcarr@example.org,569.436.7632x016,REGULAR,SILVER,674,2024-01-26,LOC-003,True,0.39
CUST-00028,Julia,Wells,pwilliams@example.org,927.488.9579x868,REGULAR,BRONZE,2314,2023-07-21,LOC-008,True,0.576
CUST-00029,Courtney,Hill,karen48@example.com,N/A,REGULAR,BRONZE,1742,2025-09-22,LOC-013,True,0.606
CUST-00030,Bryan,Wall,reevesjimmy@example.com,981-822-3623x16658,REGULAR,BRONZE,2376,2025-07-21,LOC-007,True,0.498
CUST-00031,Jeffrey,Graham,lstein@example.net,5969705466,CHURNED,SILVER,112,2024-08-17,LOC-017,False,0.942
CUST-00032,Hunter,Green,priceelizabeth@example.com,001-427-929-8069x9016,CHURNED,BRONZE,570,2024-06-28,LOC-008,False,0.815
CUST-00033,James,Smith,jason55@example.com,264-517-0805x310,REGULAR,SILVER,262,2024-05-20,LOC-017,True,0.479
CUST-00034,Daniel,Johnson,johnwells@example.org,001-437-645-2991,REGULAR,BRONZE,1386,2024-06-19,LOC-010,True,0.307
CUST-00035,Amanda,Stanley,barbara66@example.net,219.731.4919,REGULAR,BRONZE,509,2023-05-30,LOC-012,True,0.233
CUST-00036,Margaret,Vargas,huntermatthew@example.com,916.857.2628x4987,CHURNED,BRONZE,341,2025-06-20,LOC-020,False,0.83
CUST-00037,Jason,Salinas,melissa14@example.com,479.996.5075,CHURNED,BRONZE,58,2025-04-07,LOC-004,False,0.927
CUST-00038,Shane,Smith,joshua94@example.net,9839136783,CHURNED,BRONZE,159,2023-05-19,LOC-007,False,0.941
CUST-00039,Joseph,King,jeffrey34@example.net,001-757-988-5685,OCCASIONAL,SILVER,1181,2024-02-22,LOC-002,True,0.427
CUST-00040,Marissa,Phillips,griffithleslie@example.net,+1-623-337-4989,HIGH_VALUE,PLATINUM,3222,2024-03-10,LOC-009,True,0.02
CUST-00041,Matthew,Sheppard,harry08@example.org,900-984-2710x947,REGULAR,SILVER,1851,2025-06-24,LOC-005,True,0.452
CUST-00042,Kimberly,James,shelley71@example.org,(871)590-2294x1318,OCCASIONAL,SILVER,706,2025-01-27,LOC-002,True,0.393
CUST-00043,Aaron,Hayes,levans@example.com,399-409-1334x1232,CHURNED,BRONZE,155,2023-08-05,LOC-020,False,0.867
CUST-00044,Danny,Walker,unregistered@guest.dineiq.com,+1-574-803-4471x349,OCCASIONAL,GOLD,825,2024-04-30,LOC-011,True,0.597
CUST-00045,Sherri,Mason,rebekahserrano@example.org,6248994717,NEW,BRONZE,205,2025-11-27,LOC-006,True,0.234
CUST-00046,Sabrina,White,mkim@example.org,(959)940-1399x04902,NEW,BRONZE,97,2025-11-07,LOC-015,True,0.274
CUST-00047,Christopher,King,fwalters@example.org,256.955.1256x7468,REGULAR,BRONZE,891,2024-04-12,LOC-009,True,0.379
CUST-00048,Colleen,Wolf,unregistered@guest.dineiq.com,768-908-7603,REGULAR,BRONZE,2296,2025-11-10,LOC-009,True,0.349
CUST-00049,Victoria,Durham,josephanderson@example.com,371.509.3248x086,REGULAR,BRONZE,1879,2024-06-28,LOC-017,True,0.356
CUST-00050,Joshua,Tyler,pvalentine@example.org,448.346.7737x8263,REGULAR,BRONZE,1886,2024-01-26,LOC-007,True,0.201
CUST-00051,Stanley,Morris,ymorgan@example.net,704-849-9727x875,REGULAR,GOLD,1452,2023-05-25,LOC-010,True,0.48
CUST-00052,Wayne,Lawrence,tinaallen@example.com,260.457.6627,OCCASIONAL,BRONZE,1311,2025-04-17,LOC-013,True,0.449
CUST-00053,Stephanie,Sims,sawyerscott@example.net,702.862.1745x961,OCCASIONAL,SILVER,1332,2023-12-24,LOC-007,True,0.383
CUST-00054,Rebecca,Williams,cbrennan@example.net,434-631-6117,REGULAR,BRONZE,1911,2024-10-22,LOC-006,True,0.504
CUST-00055,Tyler,Aguilar,carternicholas@example.org,886.592.2219,OCCASIONAL,SILVER,1472,2024-08-05,LOC-010,True,0.242
CUST-00056,Yvonne,Castaneda,stevenking@example.com,+1-607-548-2175x94647,REGULAR,BRONZE,289,2024-02-13,LOC-003,True,0.31
CUST-00057,Dana,Oliver,youngashley@example.net,740-564-0909x7439,REGULAR,SILVER,1672,2024-02-04,LOC-001,True,0.422
CUST-00058,Gregory,Anderson,courtneyberger@example.net,7478095214,CHURNED,SILVER,159,2025-06-01,LOC-017,False,0.948
CUST-00059,Amanda,Gibson,alyssa42@example.com,245.617.1236x8516,REGULAR,GOLD,597,2024-05-26,LOC-018,True,0.405
CUST-00060,Debra,Wilson,brenda51@example.net,970.698.5931,OCCASIONAL,SILVER,2167,2025-06-26,LOC-006,True,0.392
CUST-00061,Nicole,Pena,shahkevin@example.com,813-482-6758,OCCASIONAL,BRONZE,1112,2025-08-31,LOC-016,True,0.578
CUST-00062,James,Martinez,rgilbert@example.org,001-853-677-3515x850,OCCASIONAL,BRONZE,1270,2024-07-17,LOC-003,True,0.306
CUST-00063,Mark,Hernandez,ndavis@example.net,+1-590-505-3293x1839,REGULAR,BRONZE,725,2024-04-19,LOC-018,True,0.518
CUST-00064,Grant,Williams,ramireztracey@example.org,+1-742-210-2053,REGULAR,BRONZE,1820,2023-05-09,LOC-001,True,0.375
CUST-00065,Jessica,Kerr,unregistered@guest.dineiq.com,001-568-211-7758x9178,NEW,BRONZE,147,2025-12-19,LOC-013,True,0.176
CUST-00066,Virginia,Schmidt,stephen00@example.com,(761)877-1159x2124,NEW,BRONZE,107,2025-12-24,LOC-008,True,0.208
CUST-00067,Ronald,Ortega,bwagner@example.org,001-318-736-7365x766,REGULAR,BRONZE,218,2024-07-13,LOC-006,True,0.375
CUST-00068,Robert,Russo,stephanie71@example.org,716-315-2809,NEW,BRONZE,32,2025-12-29,LOC-019,True,0.296
CUST-00069,Kathryn,Andrews,uparrish@example.org,794-351-9832x7315,OCCASIONAL,BRONZE,1855,2023-02-26,LOC-013,True,0.261
CUST-00070,Ashley,Morales,xbruce@example.net,+1-480-494-0244x550,REGULAR,BRONZE,1652,2025-07-21,LOC-003,True,0.325
CUST-00071,Eric,Webster,joycebonilla@example.org,001-383-266-7525x4599,REGULAR,GOLD,1533,2023-04-18,LOC-002,True,0.301
CUST-00072,Kari,Wilson,unregistered@guest.dineiq.com,6145767976,NEW,BRONZE,63,2025-12-31,LOC-005,True,0.14
CUST-00073,Kevin,Clark,rrodriguez@example.net,001-278-540-3690,REGULAR,SILVER,992,2023-08-24,LOC-020,True,0.409
CUST-00074,Adrian,Burgess,kathrynroberts@example.org,N/A,OCCASIONAL,SILVER,770,2023-08-24,LOC-010,True,0.634
CUST-00075,Keith,Sullivan,davidpatel@example.org,885.816.0607x15969,OCCASIONAL,BRONZE,912,2025-02-08,LOC-004,True,0.234
CUST-00076,Mason,Jackson,george97@example.net,(716)513-6968x164,OCCASIONAL,GOLD,595,2024-09-10,LOC-018,True,0.558
CUST-00077,Karen,Wolf,schmidtjames@example.com,(923)912-4329x212,REGULAR,BRONZE,1497,2025-01-29,LOC-014,True,0.206
CUST-00078,Lance,Hayes,kmaldonado@example.net,+1-795-352-7177x4490,CHURNED,SILVER,520,2024-10-13,LOC-009,False,0.934
CUST-00079,Marc,Alvarez,woodjustin@example.net,999-586-7980,OCCASIONAL,BRONZE,1199,2025-09-18,LOC-009,True,0.345
CUST-00080,Samantha,Hughes,susanhayes@example.com,001-718-720-3778x892,CHURNED,SILVER,438,2023-09-08,LOC-016,False,0.864
CUST-00081,Brooke,Hurley,erika05@example.org,818-464-4925x19254,REGULAR,BRONZE,1231,2024-06-14,LOC-008,True,0.45
CUST-00082,Jeremy,Taylor,angelica52@example.net,001-981-568-5054x235,OCCASIONAL,SILVER,1084,2025-09-28,LOC-001,True,0.511
CUST-00083,Robert,Rhodes,phillipskristin@example.net,001-988-205-9296x22292,HIGH_VALUE,PLATINUM,6486,2023-08-16,LOC-017,True,0.06
CUST-00084,Tammy,Montoya,tarabishop@example.net,838.834.7359x774,REGULAR,BRONZE,1958,2024-11-09,LOC-007,True,0.322
CUST-00085,Stacey,Walker,moniquewilliams@example.com,(881)381-4124x782,REGULAR,BRONZE,2083,2024-01-16,LOC-020,True,0.324
CUST-00086,Brian,Shaw,bwilkerson@example.com,N/A,REGULAR,SILVER,1313,2023-07-26,LOC-018,True,0.302
CUST-00087,Shane,Smith,paulmiller@example.org,4519522047,REGULAR,GOLD,2366,2023-04-05,LOC-016,True,0.331
CUST-00088,Robert,Bauer,smithjason@example.org,+1-298-561-4341,REGULAR,SILVER,2022,2023-01-27,LOC-009,True,0.415
CUST-00089,Ashley,Lopez,fbrown@example.net,+1-708-593-2460,CHURNED,BRONZE,116,2024-05-05,LOC-002,False,0.876
CUST-00090,Julie,Kelly,millsmichael@example.net,+1-788-680-6706,REGULAR,BRONZE,1116,2024-09-15,LOC-020,True,0.253
CUST-00091,Crystal,Cain,cooperjessica@example.net,995-920-5852,REGULAR,BRONZE,1913,2025-02-19,LOC-019,True,0.334
CUST-00092,Michael,Norman,baldwinsherry@example.org,530-630-5486x8740,OCCASIONAL,GOLD,951,2023-07-24,LOC-008,True,0.481
CUST-00093,Amy,Morris,joshua56@example.com,001-876-452-7758x4161,REGULAR,BRONZE,1773,2023-06-04,LOC-008,True,0.403
CUST-00094,Michael,Owen,murphykenneth@example.com,+1-362-875-7059x640,REGULAR,SILVER,1959,2024-08-03,LOC-019,True,0.232
CUST-00095,Scott,Jones,stephaniethomas@example.net,+1-770-721-3556x90927,OCCASIONAL,BRONZE,2330,2024-02-11,LOC-005,True,0.301
CUST-00096,Wendy,Mitchell,alyssasanders@example.net,931-502-7868x144,HIGH_VALUE,PLATINUM,12249,2023-06-20,LOC-004,True,0.117
CUST-00097,William,Martinez,igonzalez@example.org,427.715.5188x442,REGULAR,SILVER,1215,2024-09-15,LOC-002,True,0.425
CUST-00098,Kyle,Key,laurayoung@example.com,3583957829,CHURNED,BRONZE,306,2025-01-23,LOC-019,False,0.805
CUST-00099,Katrina,Anderson,xfox@example.com,001-412-451-7785,OCCASIONAL,GOLD,1203,2023-02-13,LOC-017,True,0.459
CUST-00100,David,Turner,guerraapril@example.com,(525)635-8414,OCCASIONAL,BRONZE,1885,2024-07-24,LOC-012,True,0.486
CUST-00101,Debra,Wang,shawgary@example.net,(229)695-9001,REGULAR,SILVER,758,2024-10-20,LOC-013,True,0.348
CUST-00102,Steven,Peterson,bmontgomery@example.com,+1-884-947-3647x1027,NEW,BRONZE,9,2025-12-06,LOC-013,True,0.191
CUST-00103,Donald,Williams,larryhiggins@example.net,(962)558-8153x714,NEW,BRONZE,0,2025-12-23,LOC-007,True,0.232
CUST-00104,Tyler,Davis,alin@example.org,(959)653-2787,OCCASIONAL,SILVER,311,2025-10-18,LOC-015,True,0.292
CUST-00105,Brandy,Williams,pwagner@example.org,N/A,CHURNED,BRONZE,295,2024-05-12,LOC-014,False,0.935
CUST-00106,Ashley,Lee,troy74@example.net,8162245650,HIGH_VALUE,PLATINUM,10060,2025-05-12,LOC-010,True,0.143
CUST-00107,Vincent,Williams,charles87@example.net,599-812-1655x852,OCCASIONAL,BRONZE,2076,2024-07-14,LOC-013,True,0.641
CUST-00108,Jeanne,Evans,jenniferbrock@example.net,729.982.5952x694,REGULAR,SILVER,659,2025-11-07,LOC-014,True,0.589
CUST-00109,George,Fuller,richardsonemily@example.com,001-240-997-4993,REGULAR,BRONZE,110,2025-11-06,LOC-016,True,0.327
CUST-00110,Robert,Hampton,rhernandez@example.org,8915307562,NEW,BRONZE,137,2025-11-29,LOC-013,True,0.197
CUST-00111,Steve,Patel,vsalas@example.net,7284385786,REGULAR,GOLD,1078,2024-10-22,LOC-002,True,0.457
CUST-00112,Timothy,Castro,erica49@example.com,934.784.3443,REGULAR,SILVER,1661,2025-08-27,LOC-005,True,0.374
CUST-00113,Derrick,Gilbert,keith98@example.com,(652)640-4157x4733,REGULAR,BRONZE,1459,2023-03-18,LOC-017,True,0.591
CUST-00114,Richard,Donovan,johnsantiago@example.net,230.416.5712,CHURNED,SILVER,469,2023-01-17,LOC-009,False,0.965
CUST-00115,Nancy,Smith,mwoods@example.com,440-619-3802x62067,REGULAR,SILVER,1445,2025-03-26,LOC-011,True,0.584
CUST-00116,Alexis,Rogers,hebertmatthew@example.com,+1-688-472-8743x1527,OCCASIONAL,GOLD,247,2025-09-27,LOC-010,True,0.478
CUST-00117,Patrick,Griffin,ashley32@example.net,+1-266-685-1612x2753,CHURNED,BRONZE,150,2025-02-04,LOC-006,False,0.944
CUST-00118,Gina,Leblanc,stephanie49@example.net,001-404-853-0174,OCCASIONAL,BRONZE,329,2023-03-02,LOC-017,True,0.332
CUST-00119,Kathleen,Becker,hannah45@example.net,932.572.7956,REGULAR,BRONZE,423,2024-01-05,LOC-016,True,0.474
CUST-00120,Mark,Meyer,foxallison@example.com,491-408-8398,CHURNED,BRONZE,310,2023-05-28,LOC-015,False,0.887
CUST-00121,Emily,Parker,frazierjennifer@example.com,287-907-2867,CHURNED,BRONZE,125,2024-11-25,LOC-014,False,0.884
CUST-00122,Anthony,Ortiz,fosterlisa@example.net,391.906.5180,OCCASIONAL,SILVER,915,2025-07-25,LOC-013,True,0.65
CUST-00123,Mary,Avila,katiegood@example.net,(456)576-6182x51286,OCCASIONAL,GOLD,1309,2024-08-29,LOC-001,True,0.21
CUST-00124,Carlos,Wheeler,steven86@example.net,(533)575-2431x0690,OCCASIONAL,GOLD,2134,2023-04-12,LOC-008,True,0.575
CUST-00125,Lisa,Dennis,tharper@example.org,606.573.8302,OCCASIONAL,BRONZE,878,2024-12-23,LOC-005,True,0.479
CUST-00126,Angela,Williams,barbara53@example.com,(483)864-4089,OCCASIONAL,BRONZE,1905,2023-03-23,LOC-010,True,0.215
CUST-00127,Robin,Hart,shelly68@example.com,001-466-924-6287x334,REGULAR,BRONZE,641,2025-05-01,LOC-017,True,0.554
CUST-00128,Joseph,Nunez,igrant@example.com,543.251.7518,CHURNED,BRONZE,543,2025-05-01,LOC-004,False,0.984
CUST-00129,Rose,Arnold,russojacob@example.net,001-583-873-5403x3173,REGULAR,BRONZE,1024,2023-06-05,LOC-018,True,0.587
CUST-00130,Joyce,Smith,oscar85@example.com,258-577-1753x556,REGULAR,BRONZE,2297,2025-03-20,LOC-009,True,0.256
CUST-00131,Gary,Norton,mphillips@example.com,969.937.8547,OCCASIONAL,BRONZE,1057,2025-01-31,LOC-011,True,0.412
CUST-00132,Jasmine,Smith,donaldpayne@example.org,+1-508-301-0062,CHURNED,BRONZE,525,2023-08-16,LOC-005,False,0.973
CUST-00133,Wayne,Wolfe,nbrooks@example.net,+1-697-270-0886x00848,HIGH_VALUE,GOLD,10571,2023-02-09,LOC-013,True,0.035
CUST-00134,Christian,Chung,ldrake@example.org,682-833-9845,REGULAR,SILVER,732,2025-05-09,LOC-020,True,0.598
CUST-00135,Deanna,Rivera,scunningham@example.org,910-816-6687x0021,REGULAR,BRONZE,1617,2024-07-27,LOC-012,True,0.298
CUST-00136,Sarah,Edwards,jacobsonsamantha@example.org,297.440.1489,HIGH_VALUE,GOLD,13064,2024-12-04,LOC-004,True,0.067
CUST-00137,Lori,Hickman,brendagoodwin@example.net,N/A,CHURNED,BRONZE,267,2025-04-24,LOC-011,False,0.922
CUST-00138,Anthony,Nelson,francisco39@example.com,+1-885-762-1850x16315,REGULAR,SILVER,940,2023-09-16,LOC-007,True,0.231
CUST-00139,Jodi,Stewart,whenry@example.net,(862)496-1943x1142,NEW,BRONZE,84,2025-11-15,LOC-009,True,0.255
CUST-00140,Christopher,Spencer,davissherry@example.com,(341)221-2678x886,NEW,BRONZE,33,2025-11-10,LOC-001,True,0.208
CUST-00141,Gavin,Adams,unregistered@guest.dineiq.com,+1-495-860-4661x839,REGULAR,SILVER,1074,2025-01-04,LOC-005,True,0.465
CUST-00142,Derek,Smith,trevor12@example.com,964-371-5437x993,OCCASIONAL,SILVER,2050,2023-08-22,LOC-015,True,0.402
CUST-00143,Linda,Rivera,ncook@example.com,N/A,OCCASIONAL,SILVER,2235,2023-03-31,LOC-016,True,0.336
CUST-00144,Michael,Frederick,ryan92@example.com,693-875-2654x79356,NEW,BRONZE,175,2025-11-28,LOC-003,True,0.122
CUST-00145,Kristina,Jones,brittanygardner@example.net,001-480-873-7416x72434,REGULAR,BRONZE,1226,2023-11-01,LOC-013,True,0.481
CUST-00146,Tammy,Rivera,iaguilar@example.net,001-268-805-8911x352,CHURNED,BRONZE,567,2024-06-28,LOC-018,False,0.915
CUST-00147,Kelsey,Chapman,grodriguez@example.com,888.989.9375,OCCASIONAL,BRONZE,1035,2024-03-17,LOC-004,True,0.386
CUST-00148,Samuel,Horton,michaeljohnson@example.org,961-312-5457x3875,REGULAR,SILVER,1633,2024-10-03,LOC-003,True,0.629
CUST-00149,Danielle,Reynolds,carlos01@example.org,412-438-2825x86736,NEW,BRONZE,110,2025-11-06,LOC-018,True,0.119
CUST-00150,Michael,Gonzalez,mclaughlinnicole@example.com,001-366-403-3419,HIGH_VALUE,PLATINUM,13477,2024-07-30,LOC-014,True,0.036
CUST-00151,Emily,Edwards,bakermichelle@example.net,+1-659-369-6915x5792,NEW,BRONZE,13,2025-12-17,LOC-019,True,0.294
CUST-00152,Cynthia,Steele,kevinwhite@example.net,(486)969-2966,OCCASIONAL,SILVER,1018,2023-11-14,LOC-004,True,0.581
CUST-00153,Tamara,Wagner,angelaburns@example.org,(557)890-5072,NEW,BRONZE,57,2025-12-07,LOC-020,True,0.261
CUST-00154,Kimberly,Cunningham,fortiz@example.com,001-677-421-9034x043,OCCASIONAL,SILVER,1195,2023-02-24,LOC-011,True,0.213
CUST-00155,Jill,Valdez,hdunn@example.net,848-358-0783,REGULAR,GOLD,1741,2024-01-08,LOC-003,True,0.231
CUST-00156,Lisa,Trujillo,kennethkidd@example.com,451-571-3395x962,OCCASIONAL,BRONZE,1958,2024-03-17,LOC-019,True,0.353
CUST-00157,Maria,Juarez,amanda98@example.org,444-794-8126x04223,OCCASIONAL,BRONZE,303,2023-04-19,LOC-016,True,0.503
CUST-00158,Misty,Boone,kburns@example.net,766-271-1684x577,OCCASIONAL,BRONZE,2198,2025-04-29,LOC-019,True,0.251
CUST-00159,Ashlee,Washington,simonstephen@example.net,001-751-486-3637x454,REGULAR,BRONZE,1718,2024-09-24,LOC-007,True,0.643
CUST-00160,Diamond,Wright,patricia00@example.org,+1-670-312-7706x3242,NEW,BRONZE,65,2025-12-19,LOC-014,True,0.158
CUST-00161,Alan,Cooper,elizabeth20@example.com,+1-943-261-1037x1293,REGULAR,SILVER,1042,2025-02-18,LOC-003,True,0.425
CUST-00162,Alyssa,Smith,mcneilrobert@example.org,413.361.1155x4262,REGULAR,BRONZE,1983,2023-03-29,LOC-019,True,0.615
CUST-00163,Kylie,Wright,scottbowen@example.net,001-826-797-3112x1965,REGULAR,BRONZE,1759,2025-05-06,LOC-020,True,0.209
CUST-00164,Paul,Allen,wrightcarolyn@example.net,+1-540-943-8983x640,REGULAR,BRONZE,533,2025-01-12,LOC-013,True,0.309
CUST-00165,Bill,Brown,ricetiffany@example.com,626-596-5827x10910,CHURNED,BRONZE,391,2025-02-03,LOC-017,False,0.948
CUST-00166,Amanda,Myers,ohunter@example.net,566.461.8892x41418,OCCASIONAL,BRONZE,704,2024-12-17,LOC-020,True,0.306
CUST-00167,David,Zimmerman,collinssamuel@example.org,6314617990,REGULAR,BRONZE,2123,2023-06-05,LOC-019,True,0.409
CUST-00168,Spencer,Ward,martinstephanie@example.net,342.952.4105x64814,OCCASIONAL,GOLD,1394,2024-10-24,LOC-010,True,0.268
CUST-00169,Brandon,Cox,kvillarreal@example.com,(241)591-3800,NEW,BRONZE,14,2025-12-08,LOC-002,True,0.17
CUST-00170,Wayne,Winters,haroldhorne@example.org,+1-763-353-6541,HIGH_VALUE,GOLD,13062,2025-05-02,LOC-017,True,0.132
CUST-00171,Steven,Vargas,jeffreyblack@example.org,(617)544-5187x0534,REGULAR,BRONZE,871,2023-03-27,LOC-002,True,0.345
CUST-00172,Dalton,Moreno,xcuevas@example.org,001-883-620-6038x5050,REGULAR,GOLD,445,2024-12-05,LOC-015,True,0.427
CUST-00173,Charles,Bradley,robertwoodward@example.org,001-441-803-8657x191,CHURNED,BRONZE,212,2024-06-21,LOC-011,False,0.869
CUST-00174,Daniel,Cole,ibates@example.org,345-465-5743x1329,OCCASIONAL,SILVER,1470,2023-04-19,LOC-010,True,0.23
CUST-00175,Jennifer,Schmitt,richard85@example.org,447.341.1249x035,REGULAR,BRONZE,679,2023-11-05,LOC-013,True,0.613
CUST-00176,Bryan,Norman,rpalmer@example.com,320-267-8831x712,REGULAR,BRONZE,1642,2023-06-24,LOC-017,True,0.49
CUST-00177,Brent,Glass,davidcolon@example.com,+1-219-994-1013x72151,HIGH_VALUE,PLATINUM,8428,2024-11-18,LOC-011,True,0.022
CUST-00178,Austin,Harvey,zunderwood@example.com,9664253244,CHURNED,BRONZE,190,2024-05-13,LOC-017,False,0.829
CUST-00179,Amy,Washington,deborahporter@example.net,701.946.2638x3806,NEW,BRONZE,189,2025-12-24,LOC-020,True,0.277
CUST-00180,Joseph,Velasquez,paul20@example.com,+1-530-540-7859x321,REGULAR,BRONZE,840,2025-02-11,LOC-006,True,0.574
CUST-00181,Mary,Cochran,gallagherstacie@example.net,(452)523-9559x0599,OCCASIONAL,BRONZE,1072,2023-04-01,LOC-015,True,0.636
CUST-00182,Samantha,Harris,lweaver@example.com,2107393087,REGULAR,BRONZE,2021,2024-05-05,LOC-019,True,0.607
CUST-00183,Brenda,Rogers,matthewthompson@example.com,7028921851,CHURNED,SILVER,441,2024-04-18,LOC-007,False,0.896
CUST-00184,Stacy,Fry,derek26@example.net,452.289.5392x6442,NEW,BRONZE,223,2025-11-09,LOC-018,True,0.15
CUST-00185,Julie,Young,xrosales@example.net,4297593917,CHURNED,SILVER,177,2024-12-30,LOC-017,False,0.854
CUST-00186,Samuel,Barnes,gary15@example.com,2438315410,REGULAR,BRONZE,1009,2025-06-15,LOC-014,True,0.568
CUST-00187,Michael,Bennett,nicolesnyder@example.com,N/A,HIGH_VALUE,GOLD,8826,2024-05-30,LOC-004,True,0.149
CUST-00188,Jessica,Payne,kkramer@example.net,001-832-471-0405x41152,NEW,BRONZE,85,2025-12-12,LOC-016,True,0.258
CUST-00189,Brian,Rivera,unregistered@guest.dineiq.com,859-497-0629,OCCASIONAL,SILVER,2021,2023-10-13,LOC-009,True,0.402
CUST-00190,Brian,Smith,robertspencer@example.net,+1-944-443-1069,REGULAR,SILVER,2261,2023-11-04,LOC-004,True,0.39
CUST-00191,Christopher,Stephens,phillipsebony@example.net,931.603.2417x1467,HIGH_VALUE,PLATINUM,12704,2024-03-06,LOC-020,True,0.079
CUST-00192,Jeremy,Adams,unregistered@guest.dineiq.com,(956)652-7047,OCCASIONAL,SILVER,688,2025-11-22,LOC-019,True,0.331
CUST-00193,Ashley,Young,hernandezheather@example.org,858-969-3806,REGULAR,SILVER,1577,2023-06-26,LOC-017,True,0.23
CUST-00194,Wendy,Burton,christian08@example.net,899.521.7223x32061,OCCASIONAL,GOLD,278,2025-03-11,LOC-001,True,0.486
CUST-00195,Robert,Hernandez,luis11@example.com,+1-868-354-8709,REGULAR,BRONZE,524,2023-05-20,LOC-002,True,0.547
CUST-00196,Christine,Becker,buckleyanna@example.org,885-464-6799x7024,REGULAR,SILVER,817,2024-11-25,LOC-016,True,0.574
CUST-00197,Michele,Cohen,vwilliams@example.net,607.945.0544,OCCASIONAL,BRONZE,1974,2023-10-05,LOC-002,True,0.217
CUST-00198,Larry,Hunter,dennismccann@example.com,001-454-369-1373x67850,REGULAR,SILVER,2324,2024-09-28,LOC-010,True,0.413
CUST-00199,Joshua,Colon,kimberlywarren@example.net,7235303070,REGULAR,GOLD,1459,2023-04-09,LOC-013,True,0.323
